file,electric,lightning,nuclear,temporal
campione_1_lightning_neutron\arxiv_2606.03586.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2606.03633.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.03673.json,0,1,0,0
campione_1_lightning_neutron\arxiv_2606.03707.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.03720.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.03760.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2606.03993.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.04033.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.04216.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.04304.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.04567.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2606.04606.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.04664.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.04810.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2606.05007.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.05082.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2606.05154.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.05322.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.05469.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.05643.json,0,0,1,1
campione_1_lightning_neutron\arxiv_2606.06279.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.06319.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.06371.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2606.06376.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2606.06378.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2606.06430.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.06580.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.06678.json,1,0,0,0
campione_1_lightning_neutron\arxiv_2606.06706.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2606.07137.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.07371.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.07465.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2606.07679.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.07731.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2606.07742.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2606.07754.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.07827.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.07905.json,0,0,2,0
