,electric,lightning,nuclear,temporal
electric,1.0,0.3574313362231843,0.37060180747362176,0.38456638161177614
lightning,0.3574313362231843,1.0,0.3210276459980252,0.27325878715061463
nuclear,0.37060180747362176,0.3210276459980252,1.0,0.32249873785826233
temporal,0.38456638161177614,0.27325878715061463,0.32249873785826233,1.0
